TemplateType=BookLoader	Version=2014.0415	The top 3 rows are for Amazon.com use only. Do not modify or delete the top 3 rows.									Offer - These attributes are required to make your item buyable for customers on the site									Discovery - These attributes have an effect on how customers can find your product on the site using browse or search					Image - These attributes provide links to images for a product							Fulfillment - Use these columns to provide fulfillment-related information for either Amazon-fulfilled (FBA) or seller-fulfilled orders.							Ungrouped - These attributes create rich product listings for your buyers.																																																			
SKU	Product ID	Product ID Type	Title	Publisher	Product Description	Update Delete	Author	Binding	Publication date	Edition Number	Standard Price	Quantity	Item Condition	Offer Condition Note	Product Tax Code	Expedited Shipping	Will Ship Internationally	Standard Plus	Scheduled Delivery SKU List	Search Terms1	Search Terms2	Search Terms3	Search Terms4	Search Terms5	Main Image URL	Main Offer Image	Offer Image1	Offer Image2	Offer Image3	Offer Image4	Offer Image5	Fulfillment Center ID	Package Height	Package Width	Package Length	Package Dimensions Unit Of Measure	Package Weight	Package Weight Unit Of Measure	Subject	Language	Illustrator	Pages	Number in Series	Series Title	Editor	Preface	Colorist	Compiler	Composer1	Composer2	Composer3	Composer4	Composer5	Composer6	Composer7	Composer8	Composer9	Composer10	Creator	Drawings	Painter	Reader	Series Editor	Technical editor	Adapter	Afterword	Artist1	Artist2	Artist3	Artist4	Artist5	Artist6	Artist7	Artist8	Artist9	Artist10	Foreword	Introduction	Translator	Photographer	Format1	Format2	Format3	Format4	Format5	Format6	Format7	Format8	Format9	Format10
item_sku	external_product_id	external_product_id_type	item_name	manufacturer	product_description	update_delete	author	binding	publication_date	edition	standard_price	quantity	condition_type	condition_note	product_tax_code	expedited_shipping	will_ship_internationally	standard_plus	delivery_schedule_group_id	generic_keywords1	generic_keywords2	generic_keywords3	generic_keywords4	generic_keywords5	main_image_url	main_offer_image	offer_image1	offer_image2	offer_image3	offer_image4	offer_image5	fulfillment_center_id	package_height	package_width	package_length	package_dimensions_unit_of_measure	package_weight	package_weight_unit_of_measure	unknown_subject	language_value	illustrator	pages	series_number	collection_name	editor	preface	colorist	compiler	composer1	composer2	composer3	composer4	composer5	composer6	composer7	composer8	composer9	composer10	creator	drawings	painter	reader	series_editor	technical_editor	adapter	afterword	artist1	artist2	artist3	artist4	artist5	artist6	artist7	artist8	artist9	artist10	foreword	introduction	translator	photographer	format1	format2	format3	format4	format5	format6	format7	format8	format9	format10
sku	primary_id	primary_id_type	title	publisher_text	summary	_GET_update_type	authors_text	media	pub_date	edition	myprice	quantity	condition	notes	_GET_tax_code	ship_expedited	ship_international	ship_standard_fast	_GET_delivery_group	_GET_keywords_1	_GET_keywords_2	_GET_keywords_3	_GET_keywords_4	_GET_keywords_5	image_url																																																																	
